# Header: 
#   Title                 : 64-GD-157 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-09-01 
# EXFOR Bibliographic Information: 
#   Entry-Subent-Pointer  : 10049-012-2 
#   First Author          : M.P.Fricke 
#   Institute             : (1USAGRT): Gulf Radiation Technology, San Diego, CA 
#   Reference             : (C,70HELSINKI,2,265,1970) 
#   Year                  : 1970 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 64 
#   A                     : 157 
#   Isomer                :  
#   Nuclide               : 64-GD-157 
# Reaction: 
#   EXFOR Reaction        : (64-GD-157(N,G),,WID) 
#   Incident Energy Type   : 1.6250e+01 eV - 1.8400e+02 eV 
#   Resonance Energy      : EN 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/100/10049.x4 
#   nds                   : https://nds.iaea.org/EXFOR/10049
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.6250E+01   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6850E+01   1.1000E-01        NAN        NAN          NAN          NAN   7.7000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.0560E+01   4.0000E-02        NAN        NAN          NAN          NAN   8.8000E-02   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   2.1660E+01   3.0000E-02        NAN        NAN          NAN          NAN   1.4700E-01   6.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.3330E+01   2.0000E-02        NAN        NAN          NAN          NAN   1.2100E-01   3.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   2.5400E+01   2.3000E+00        NAN        NAN          NAN          NAN   7.9000E-02   2.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   4.0150E+01   9.0000E-02        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4200E+01   1.0000E-01        NAN        NAN          NAN          NAN   9.1000E-02   8.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   4.8720E+01   1.1000E-01        NAN        NAN          NAN          NAN   8.7000E-02   4.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   5.8310E+01   8.0000E-02        NAN        NAN          NAN          NAN   1.0400E-01   5.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   6.6570E+01   1.0000E-01        NAN        NAN          NAN          NAN   6.7000E-02   1.2000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   8.1390E+01   1.2000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.2240E+01   1.3000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7200E+01   1.4000E-01        NAN        NAN          NAN          NAN   1.1300E-01   3.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   9.6590E+01   1.5000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0020E+02   1.0000E-01        NAN        NAN          NAN          NAN   1.0300E-01   3.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.0490E+02   1.0000E-01        NAN        NAN          NAN          NAN   6.6000E-02   9.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.0740E+02   1.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1050E+02   1.0000E-01        NAN        NAN          NAN          NAN   8.7000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.1540E+02   2.0000E-01        NAN        NAN          NAN          NAN   1.1300E-01   5.6000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.2090E+02   9.0000E-02        NAN        NAN          NAN          NAN   9.1000E-02   6.0000E-03          NAN          NAN          NAN          NAN          NAN          NAN
   1.3820E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.3930E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.4370E+02   2.0000E-01        NAN        NAN          NAN          NAN   8.8000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.4840E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.5660E+02   2.0000E-01        NAN        NAN          NAN          NAN   8.7000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN
   1.6490E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6830E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.6950E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7140E+02   2.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.7870E+02   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.8400E+02   3.0000E-01        NAN        NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
