# Header: 
#   Title                 : 64-GD-157 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-28 
# EXFOR Bibliographic Information: 
#   First Author          : E.N.Karzhavina 
#   Institute             : (4ZZZDUB): Joint Institute for Nuclear Research (JINR), Dubna 
#   Reference             : (J,SNP,9,523,1969) 
#   Year                  : 1969 
#   Facility              : (REAC): Reactor 
# Target: 
#   Z                     : 64 
#   A                     : 157 
#   Nuclide               : 64-GD-157 
# Reaction: 
#   entry-subent-pointer  :['40162-034-0'] 
#   EXFOR reaction        :['(64-GD-157(N,TOT),,WID)'] 
#   incident energy       : 1.6770e+01 eV - 2.3920e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/401/40162.x4 
#   nds                   : https://nds.iaea.org/EXFOR/40162
#
#    E_in(eV)    dE_in(eV)          J          L      (N,TOT)     d(N,TOT)        (N,G)       d(N,G)        (N,EL)     d(N,EL)        (N,F)       d(N,F)        (N,A)       d(N,A)
   1.6770E+01   6.0000E-02        NAN        NAN   9.7000E-02   1.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0490E+01   3.0000E-02        NAN        NAN   9.7000E-02   2.0000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.5330E+01   4.0000E-02        NAN        NAN   7.7000E-02   1.3000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.4070E+01   9.0000E-02        NAN        NAN   1.0000E-01   1.9000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   4.8700E+01   1.0000E-01        NAN        NAN   1.1700E-01   1.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   5.8130E+01   1.3000E-01        NAN        NAN   1.2500E-01   1.1000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   8.7000E+01          NAN        NAN        NAN   1.9100E-01   5.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   9.6500E+01   1.0000E-01        NAN        NAN   9.7000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.0000E+02   2.0000E-01        NAN        NAN   1.2700E-01   1.8000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1000E+02          NAN        NAN        NAN   1.4100E-01   1.9000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.1520E+02          NAN        NAN        NAN   1.5000E-01   7.5000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   1.2070E+02          NAN        NAN        NAN   2.8821E-01          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.0770E+02   4.0000E-01        NAN        NAN   2.1900E-01   1.8000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
   2.3920E+02   6.0000E-01        NAN        NAN   2.4300E-01   1.8000E-02          NAN          NAN          NAN          NAN          NAN          NAN          NAN          NAN
