# Header: 
#   Title                 : 40-ZR-91 Resonance Parameter 
#   Source                : EXFOR 
#   Date Created          : 2025-07-24 
# EXFOR Bibliographic Information: 
#   First Author          : A.Brusegan 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (C,78HARWELL,,706,197809) 
#   Year                  : 1978 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 40 
#   A                     : 91 
#   Nuclide               : 40-ZR-91 
# Reaction: 
#   entry-subent-pointer  :{460: '20859-005-2', 461: '20859-005-2', 462: '20859-005-2', 463: '20859-005-2', 464: '20859-005-2', 465: '20859-005-2', 466: '20859-005-2', 467: '20859-005-2', 468: '20859-005-2', 469: '20859-005-2', 470: '20859-005-2', 471: '20859-005-2', 472: '20859-005-2', 473: '20859-005-2', 474: '20859-005-2', 475: '20859-005-2', 476: '20859-005-2', 477: '20859-005-2', 478: '20859-005-2', 479: '20859-005-2', 480: '20859-005-2', 481: '20859-005-2', 482: '20859-005-2', 483: '20859-005-2', 484: '20859-005-2', 485: '20859-005-2', 486: '20859-005-2', 487: '20859-005-2', 488: '20859-005-2', 489: '20859-005-2', 490: '20859-005-2', 491: '20859-005-2', 492: '20859-005-2', 493: '20859-005-2', 494: '20859-005-2', 495: '20859-005-2', 496: '20859-005-2', 497: '20859-005-2', 498: '20859-005-2', 499: '20859-005-2', 500: '20859-005-2', 501: '20859-005-2', 502: '20859-005-2', 503: '20859-005-2', 504: '20859-005-2', 505: '20859-005-2', 506: '20859-005-2', 507: '20859-005-2', 508: '20859-005-2', 509: '20859-005-2', 510: '20859-005-2', 511: '20859-005-2', 512: '20859-005-2', 513: '20859-005-2', 514: '20859-005-2', 515: '20859-005-2', 516: '20859-005-2', 517: '20859-005-2', 518: '20859-005-2'} 
#   EXFOR reaction        :{460: '(40-ZR-91(N,G),,WID)', 461: '(40-ZR-91(N,G),,WID)', 462: '(40-ZR-91(N,G),,WID)', 463: '(40-ZR-91(N,G),,WID)', 464: '(40-ZR-91(N,G),,WID)', 465: '(40-ZR-91(N,G),,WID)', 466: '(40-ZR-91(N,G),,WID)', 467: '(40-ZR-91(N,G),,WID)', 468: '(40-ZR-91(N,G),,WID)', 469: '(40-ZR-91(N,G),,WID)', 470: '(40-ZR-91(N,G),,WID)', 471: '(40-ZR-91(N,G),,WID)', 472: '(40-ZR-91(N,G),,WID)', 473: '(40-ZR-91(N,G),,WID)', 474: '(40-ZR-91(N,G),,WID)', 475: '(40-ZR-91(N,G),,WID)', 476: '(40-ZR-91(N,G),,WID)', 477: '(40-ZR-91(N,G),,WID)', 478: '(40-ZR-91(N,G),,WID)', 479: '(40-ZR-91(N,G),,WID)', 480: '(40-ZR-91(N,G),,WID)', 481: '(40-ZR-91(N,G),,WID)', 482: '(40-ZR-91(N,G),,WID)', 483: '(40-ZR-91(N,G),,WID)', 484: '(40-ZR-91(N,G),,WID)', 485: '(40-ZR-91(N,G),,WID)', 486: '(40-ZR-91(N,G),,WID)', 487: '(40-ZR-91(N,G),,WID)', 488: '(40-ZR-91(N,G),,WID)', 489: '(40-ZR-91(N,G),,WID)', 490: '(40-ZR-91(N,G),,WID)', 491: '(40-ZR-91(N,G),,WID)', 492: '(40-ZR-91(N,G),,WID)', 493: '(40-ZR-91(N,G),,WID)', 494: '(40-ZR-91(N,G),,WID)', 495: '(40-ZR-91(N,G),,WID)', 496: '(40-ZR-91(N,G),,WID)', 497: '(40-ZR-91(N,G),,WID)', 498: '(40-ZR-91(N,G),,WID)', 499: '(40-ZR-91(N,G),,WID)', 500: '(40-ZR-91(N,G),,WID)', 501: '(40-ZR-91(N,G),,WID)', 502: '(40-ZR-91(N,G),,WID)', 503: '(40-ZR-91(N,G),,WID)', 504: '(40-ZR-91(N,G),,WID)', 505: '(40-ZR-91(N,G),,WID)', 506: '(40-ZR-91(N,G),,WID)', 507: '(40-ZR-91(N,G),,WID)', 508: '(40-ZR-91(N,G),,WID)', 509: '(40-ZR-91(N,G),,WID)', 510: '(40-ZR-91(N,G),,WID)', 511: '(40-ZR-91(N,G),,WID)', 512: '(40-ZR-91(N,G),,WID)', 513: '(40-ZR-91(N,G),,WID)', 514: '(40-ZR-91(N,G),,WID)', 515: '(40-ZR-91(N,G),,WID)', 516: '(40-ZR-91(N,G),,WID)', 517: '(40-ZR-91(N,G),,WID)', 518: '(40-ZR-91(N,G),,WID)'} 
#   incident energy       : 1.5940e-04 eV - 1.4574e-02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/208/20859.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20859
#
#        E_in(eV)          dE_in(eV)    data(N,TOT)(eV)       ddata(N,TOT)       data(N,G)         ddata(N,G)        data(N,EL)       ddata(N,EL)        data(N,F)        ddata(N,F)         data(N,A)        ddata(N,A)            spin_j        momentum_l
        1.5940E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.8173E-04               NAN               NAN               NAN        1.4000E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.4010E-04               NAN               NAN               NAN        2.6800E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.4944E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.9267E-04               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.5331E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.9537E-03               NAN               NAN               NAN        4.0500E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        1.9976E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.0123E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3612E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.3842E-03               NAN               NAN               NAN        2.5200E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.7565E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        2.7628E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.1577E-03               NAN               NAN               NAN        1.6400E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.6111E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        3.6427E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.0066E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.2767E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.3252E-03               NAN               NAN               NAN        1.4190E+00               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.7478E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        4.9785E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.3605E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.6337E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        5.8239E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.0910E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.1780E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        6.7577E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.0382E-03               NAN               NAN               NAN        2.4200E-01               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.1245E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.7540E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        7.7640E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.4974E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.5161E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        8.9438E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.0329E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.0949E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.2248E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.2980E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
        9.8251E-03               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN               NAN
